"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 09:24:11 UTC 2025","Sun Jun 29 09:24:11 UTC 2025","161","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 3 of 10",""
"passed","Sun Jun 29 09:24:12 UTC 2025","Sun Jun 29 09:24:12 UTC 2025","173","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 8 of 10",""
"passed","Sun Jun 29 09:24:07 UTC 2025","Sun Jun 29 09:24:08 UTC 2025","100","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 7 of 20",""
"passed","Sun Jun 29 09:24:09 UTC 2025","Sun Jun 29 09:24:09 UTC 2025","104","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 20 of 20",""
"passed","Sun Jun 29 09:24:07 UTC 2025","Sun Jun 29 09:24:07 UTC 2025","129","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 4 of 20",""
"passed","Sun Jun 29 09:24:07 UTC 2025","Sun Jun 29 09:24:07 UTC 2025","161","","com.ContactList.tests.api.UserTests","","com.ContactList.tests.api.UserTests","checkLoginUser","Request for logging in a system as an existing User",""
"passed","Sun Jun 29 09:24:10 UTC 2025","Sun Jun 29 09:24:10 UTC 2025","140","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 8 of 10",""
"passed","Sun Jun 29 09:24:12 UTC 2025","Sun Jun 29 09:24:12 UTC 2025","158","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 10 of 10",""
"passed","Sun Jun 29 09:24:08 UTC 2025","Sun Jun 29 09:24:08 UTC 2025","122","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 14 of 20",""
"passed","Sun Jun 29 09:24:06 UTC 2025","Sun Jun 29 09:24:07 UTC 2025","133","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContactWithStreet","Request for adding a Contact that contains 'street' field in its payload repetition 2 of 3",""
"passed","Sun Jun 29 09:24:09 UTC 2025","Sun Jun 29 09:24:09 UTC 2025","133","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 1 of 10",""
